Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,144.9499969482422,146.5,142.1999969482422,146.0,136.25389099121094,1171821
2018-01-03,147.5,149.4499969482422,146.85000610351562,148.1999969482422,138.3069610595703,1531424
2018-01-04,149.0500030517578,150.4499969482422,147.64999389648438,149.85000610351562,139.84681701660156,1606148
2018-01-05,150.0,151.85000610351562,149.64999389648438,151.85000610351562,141.7133331298828,1087996
2018-01-08,153.0,153.85000610351562,151.89999389648438,153.75,143.48646545410156,907322
2018-01-09,153.35000610351562,154.64999389648438,152.1999969482422,153.35000610351562,143.1132049560547,1182232
2018-01-10,152.75,153.10000610351562,149.6999969482422,150.35000610351562,140.31344604492188,1230355
2018-01-11,151.25,151.4499969482422,147.89999389648438,148.1999969482422,138.3069610595703,1295237
2018-01-12,148.75,149.9499969482422,147.60000610351562,149.35000610351562,139.38023376464844,1000904
2018-01-15,150.8000030517578,153.1999969482422,150.39999389648438,151.8000030517578,141.6666717529297,1381535
2018-01-16,152.5,154.35000610351562,152.10000610351562,153.64999389648438,143.39317321777344,1405010
2018-01-17,160.0,163.9499969482422,158.14999389648438,161.25,150.48583984375,3407976
2018-01-18,164.10000610351562,166.60000610351562,163.3000030517578,166.60000610351562,155.47866821289062,2481048
2018-01-19,166.5,168.14999389648438,165.3000030517578,166.89999389648438,155.7586669921875,1780624
2018-01-22,167.0,169.1999969482422,166.10000610351562,166.5500030517578,155.43203735351562,1491836
2018-01-23,167.85000610351562,168.0,166.35000610351562,167.0,155.85202026367188,1209697
2018-01-24,166.25,166.6999969482422,163.3000030517578,163.3000030517578,152.3989715576172,1403768
2018-01-25,163.39999389648438,167.35000610351562,163.35000610351562,163.75,152.81893920898438,1827969
2018-01-26,163.35000610351562,166.0500030517578,162.85000610351562,165.8000030517578,154.73208618164062,1086670
2018-01-29,166.75,166.9499969482422,163.5500030517578,164.1999969482422,153.2388916015625,1111087
2018-01-30,163.5500030517578,165.3000030517578,162.25,163.10000610351562,152.2123565673828,1052820
